geodata_id,geodata_name,geodata_tags,geodata_geom,osm_id,osm_name,osm_tags,osm_geom,tot_score,name_dist,tag_dist,spatial_dist (meters),status
1,ΑΒ ΒΑΣΙΛΟΠΟΥΛΟΣ,Αγαθά - υπηρεσίες|Καταστήματα τροφίμων|Σουπερμάρκετ,POINT (23.7888700937836681 38.0246737192812247),2124938895,"['AB Vassilopoulos', 'ΑΒ Βασιλόπουλος']","[('addr:postcode', '15123'), ('brand', 'ΑΒ Βασιλόπουλος'), ('brand:el', 'ΑΒ Βασιλόπουλος'), ('brand:en', 'AB Vassilopoulos'), ('brand:wikidata', 'Q4721807'), ('brand:wikipedia', 'el:Άλφα Βήτα Βασιλόπουλος'), ('name', 'ΑΒ Βασιλόπουλος'), ('name:el', 'ΑΒ Βασιλόπουλος'), ('name:en', 'AB Vassilopoulos'), ('shop', 'supermarket')]",POINT (23.7887708 38.02481150000001),0.958,93,100,22.3890891773662,True
3,ΦΑΡΜΑΚΕΙΟ ΣΠΑΝΟΥΔΗ ΣΟΦΙΑ & ΣΙΑ ΟΕ,Περίθαλψη|Φαρμακεία|_,POINT (23.7870951356719154 38.0255257977246828),2128359914,[],"[('amenity', 'pharmacy'), ('healthcare', 'pharmacy')]",POINT (23.7873373 38.02554849999999),0.89,0,89,27.147839469218066,True
7,BP,Αυτοκίνηση|Πρατήρια βενζίνης|_,POINT (23.7855699831274769 38.0266399744928307),428442167,['BP'],"[('addr:city', 'Μαρούσι'), ('addr:housenumber', '32'), ('addr:postcode', '15123'), ('addr:street', 'Καποδιστρίου'), ('amenity', 'fuel'), ('brand', 'BP'), ('brand:wikidata', 'Q152057'), ('brand:wikipedia', 'en:BP'), ('building', 'roof'), ('name', 'BP'), ('operator', 'Φουρτούνης')]",POINT (23.7857034 38.02661309999998),0.7559999999999999,100,39,15.329791300591873,True
13,ΦΑΡΜΑΚΕΙΟ ΑΣΗΜΑΚΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,Περίθαλψη|Φαρμακεία|_,POINT (23.7882687911737669 38.0276552032946498),2128357088,[],"[('amenity', 'pharmacy'), ('healthcare', 'pharmacy')]",POINT (23.7886538 38.0285824),0.89,0,89,137.8633095510355,True
23,ALPHA BANK,Επιχειρήσεις|Τράπεζες|Καταστήματα,POINT (23.7890425578440983 38.0281957098014232),2124940029,['Alpha Bank'],"[('amenity', 'bank'), ('atm', 'yes'), ('brand', 'Alpha Bank'), ('brand:wikidata', 'Q747394'), ('brand:wikipedia', 'en:Alpha Bank'), ('name', 'Alpha Bank')]",POINT (23.78906689999999 38.028007),0.92,100,80,26.805901943223557,True
24,PARKING,Αυτοκίνηση|Χώροι στάθμευσης|_,POINT (23.7890910936606836 38.0282306412409170),4746030417,[],"[('amenity', 'parking')]",POINT (23.78885469999999 38.02844589999999),0.94,0,94,40.2231766061262,True
29,PARKING,Αυτοκίνηση|Χώροι στάθμευσης|_,POINT (23.7884473641053482 38.0291318639690559),4746030417,[],"[('amenity', 'parking')]",POINT (23.78885469999999 38.02844589999999),0.94,0,94,107.0225385506746,True
30,PARKING,Αυτοκίνηση|Χώροι στάθμευσης|_,POINT (23.7880611257701347 38.0293035255139742),4746029665,[],"[('amenity', 'parking')]",POINT (23.7877104 38.02974809999999),0.94,0,94,73.97148020785338,True
32,PARKING,Αυτοκίνηση|Χώροι στάθμευσης|_,POINT (23.7876319725322993 38.0295181020150892),4746029665,[],"[('amenity', 'parking')]",POINT (23.7877104 38.02974809999999),0.94,0,94,33.65621560283651,True
36,SUZUKI,Αυτοκίνηση|Εμπόριο και υπηρεσίες αυτοκινήτων|_,POINT (23.7923699926185037 38.0304499868283514),5803153753,"['Nissan Renault Suzuki Σφακιανάκης', 'Nissan Renault Suzuki']","[('name', 'Nissan Renault Suzuki'), ('name:el', 'Nissan Renault Suzuki Σφακιανάκης'), ('phone', '2106801625'), ('shop', 'car_repair')]",POINT (23.7921983 38.03035570000001),0.9440000000000001,100,86,23.299243115798106,True
37,ΦΑΡΜΑΚΕΙΟ ΣΤΡΑΤΗΓΕΑ ΜΑΡΙΑ - ΦΙΛΙΑ,Περίθαλψη|Φαρμακεία|_,POINT (23.8114892507055274 38.0315055116484899),1493090974,[],"[('amenity', 'pharmacy')]",POINT (23.81172669999999 38.03321089999999),0.89,0,89,242.4656707233796,True
45,ΑΣΤΥΝΟΜΙΚΟ ΤΜΗΜΑ ΑΜΑΡΟΥΣΙΟΥ,Δημόσιος τομέας|Αστυνομία|Αστυνομικά τμήματα,POINT (23.7887924213951827 38.0317825329143488),429331038,['Αστυνομικό Τμήμα Αμαρουσίου'],"[('addr:city', 'Μαρούσι'), ('addr:postcode', '15123'), ('addr:street', 'Αγίου Όρους'), ('amenity', 'police'), ('building', 'yes'), ('name', 'Αστυνομικό Τμήμα Αμαρουσίου')]",POINT (23.7891426 38.03182959999999),0.934,89,100,39.545174682866566,True
46,ΦΑΡΜΑΚΕΙΟ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ ΕΛΕΥΘΕΡΙΟΣ Β.,Περίθαλψη|Φαρμακεία|_,POINT (23.7810671571268308 38.0317890508383343),2127332401,[],"[('amenity', 'pharmacy')]",POINT (23.7812344 38.03168639999998),0.89,0,89,23.6023719233606,True
50,ΦΑΡΜΑΚΕΙΟ ΖΑΦΕΙΡΑΤΟΥ ΕΛΕΝΗ,Περίθαλψη|Φαρμακεία|_,POINT (23.8149760020066203 38.0330930611534299),1493090974,[],"[('amenity', 'pharmacy')]",POINT (23.81172669999999 38.03321089999999),0.89,0,89,362.09384588301936,True
51,ΠΡΟΜΗΘΕΥΤΙΚΗ,Αγαθά - υπηρεσίες|Καταστήματα τροφίμων|Σουπερμάρκετ,POINT (23.8104676452706023 38.0320875631085258),4082913304,['ΠΡΟΜΗΘΕΥΤΙΚΗ'],"[('name', 'ΠΡΟΜΗΘΕΥΤΙΚΗ'), ('shop', 'supermarket')]",POINT (23.810251 38.0319672),1.0,100,100,29.512472207882038,True
57,ΦΑΡΜΑΚΕΙΟ ΚΑΡΑΓΕΩΡΓΟΥ ΚΑΤΕΡΙΝΑ,Περίθαλψη|Φαρμακεία|_,POINT (23.7843378038102600 38.0326620552348942),2127334892,[],"[('amenity', 'pharmacy')]",POINT (23.7843287 38.03261849999997),0.89,0,89,6.238499965514985,True
61,PUBLIC,Αγαθά - υπηρεσίες|Εμπορικά κέντρα|Πολυκαταστήματα,POINT (23.7933558001509340 38.0330921117709337),82629270,[],"[('addr:city', 'Μαρούσι'), ('addr:housenumber', '37A'), ('addr:postcode', '15123'), ('addr:street', 'Λεωφόρος Κηφισίας'), ('building', 'commercial'), ('building:levels', '4'), ('shop', 'mall')]",POINT (23.7923471 38.03413309999999),0.87,0,87,185.0786778873563,True
62,ARGENTOVIVO,Αγαθά - υπηρεσίες|Εμπορικά κέντρα|Αλυσίδες καταστημάτων,POINT (23.7934401000220426 38.0331196028961358),82629270,[],"[('addr:city', 'Μαρούσι'), ('addr:housenumber', '37A'), ('addr:postcode', '15123'), ('addr:street', 'Λεωφόρος Κηφισίας'), ('building', 'commercial'), ('building:levels', '4'), ('shop', 'mall')]",POINT (23.7923471 38.03413309999999),0.87,0,87,187.94013629318692,True
63,ANNE KLEIN,Αγαθά - υπηρεσίες|Εμπορικά κέντρα|Αλυσίδες καταστημάτων,POINT (23.7932596274082897 38.0331832116245181),82629270,[],"[('addr:city', 'Μαρούσι'), ('addr:housenumber', '37A'), ('addr:postcode', '15123'), ('addr:street', 'Λεωφόρος Κηφισίας'), ('building', 'commercial'), ('building:levels', '4'), ('shop', 'mall')]",POINT (23.7923471 38.03413309999999),0.87,0,87,168.3499820576745,True
66,ATTICA GOLDEN,Αγαθά - υπηρεσίες|Εμπορικά κέντρα|Αλυσίδες καταστημάτων,POINT (23.7930728809658874 38.0332664776438065),82629270,[],"[('addr:city', 'Μαρούσι'), ('addr:housenumber', '37A'), ('addr:postcode', '15123'), ('addr:street', 'Λεωφόρος Κηφισίας'), ('building', 'commercial'), ('building:levels', '4'), ('shop', 'mall')]",POINT (23.7923471 38.03413309999999),0.87,0,87,146.72828865216792,True
70,FURLA,Αγαθά - υπηρεσίες|Εμπορικά κέντρα|Αλυσίδες καταστημάτων,POINT (23.7928861352385930 38.0333497442673476),82629270,[],"[('addr:city', 'Μαρούσι'), ('addr:housenumber', '37A'), ('addr:postcode', '15123'), ('addr:street', 'Λεωφόρος Κηφισίας'), ('building', 'commercial'), ('building:levels', '4'), ('shop', 'mall')]",POINT (23.7923471 38.03413309999999),0.87,0,87,125.92835531395184,True
71,GOLDEN HALL,Αγαθά - υπηρεσίες|Εμπορικά κέντρα|_,POINT (23.7937875912945174 38.0333562460764725),169470790,['Golden Hall'],"[('landuse', 'retail'), ('name', 'Golden Hall'), ('shop', 'mall')]",POINT (23.7927178 38.03414329999998),0.948,100,87,162.95841174756347,True
72,GAP KIDS / BABYS,Αγαθά - υπηρεσίες|Εμπορικά κέντρα|Αλυσίδες καταστημάτων,POINT (23.7927056327291560 38.0334231868444022),82629270,[],"[('addr:city', 'Μαρούσι'), ('addr:housenumber', '37A'), ('addr:postcode', '15123'), ('addr:street', 'Λεωφόρος Κηφισίας'), ('building', 'commercial'), ('building:levels', '4'), ('shop', 'mall')]",POINT (23.7923471 38.03413309999999),0.87,0,87,107.98001346128972,True
75,GUESS,Αγαθά - υπηρεσίες|Εμπορικά κέντρα|Αλυσίδες καταστημάτων,POINT (23.7925313480686924 38.0334966401144641),82629270,[],"[('addr:city', 'Μαρούσι'), ('addr:housenumber', '37A'), ('addr:postcode', '15123'), ('addr:street', 'Λεωφόρος Κηφισίας'), ('building', 'commercial'), ('building:levels', '4'), ('shop', 'mall')]",POINT (23.7923471 38.03413309999999),0.87,0,87,92.26064155309919,True
94,ΦΑΡΜΑΚΕΙΟ,Περίθαλψη|Φαρμακεία|_,POINT (23.8120101105701636 38.0339470133823454),1493090974,[],"[('amenity', 'pharmacy')]",POINT (23.81172669999999 38.03321089999999),0.89,0,89,108.71426743605946,True
100,ΕΛΛΗΝΙΚΟΣ ΙΠΠΙΚΟΣ ΟΜΙΛΟΣ,Αθλητισμός και αναψυχή|Δημόσιοι χώροι|Πλατείες,POINT (23.8001077746963574 38.0340346315350999),223239839,['Ελληνικός Ιππικός Όμιλος'],"[('addr:city', 'Αθήνα'), ('addr:housenumber', '18'), ('addr:postcode', '15125'), ('addr:street', 'Παραδείσου'), ('leisure', 'sports_centre'), ('name', 'Ελληνικός Ιππικός Όμιλος'), ('name:el', 'Ελληνικός Ιππικός Όμιλος'), ('sport', 'equestrian'), ('website', 'http://www.eio.org.gr/')]",POINT (23.8001924 38.03421029999999),0.7440000000000001,88,54,26.55476344587689,True
111,PARKING,Αυτοκίνηση|Χώροι στάθμευσης|_,POINT (23.7990045381790480 38.0341958741559765),3520873310,[],"[('amenity', 'parking'), ('parking', 'underground')]",POINT (23.7962892 38.0351145),0.94,0,94,328.9736208577848,True
117,ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ,Επιχειρήσεις|Τράπεζες|Καταστήματα,POINT (23.7962625340728735 38.0342504959770480),4656636048,"['National Bank of Greece', 'Εθνική Τράπεζα']","[('amenity', 'bank'), ('atm', 'yes'), ('brand', 'Εθνική Τράπεζα'), ('brand:el', 'Εθνική Τράπεζα'), ('brand:en', 'National Bank of Greece'), ('brand:wikidata', 'Q1816028'), ('brand:wikipedia', 'en:National Bank of Greece'), ('level', '0'), ('name', 'Εθνική Τράπεζα'), ('name:el', 'Εθνική Τράπεζα'), ('name:en', 'National Bank of Greece')]",POINT (23.7965867 38.03438559999999),0.8360000000000001,86,80,40.826491004852414,True
156,ΦΑΡΜΑΚΕΙΟ ΚΑΡΑΚΟΥΤΣΗ ΓΕΩΡΓΙΑ,Περίθαλψη|Φαρμακεία|_,POINT (23.8133627366504896 38.0348441031335227),1493090974,[],"[('amenity', 'pharmacy')]",POINT (23.81172669999999 38.03321089999999),0.89,0,89,294.02110051133826,True
161,AVENUE,Αγαθά - υπηρεσίες|Εμπορικά κέντρα|_,POINT (23.7960298728523192 38.0349986370508688),82629273,[],"[('addr:city', 'Μαρούσι'), ('addr:housenumber', '41-47'), ('addr:postcode', '15123'), ('addr:street', 'Λεωφόρος Κηφισίας'), ('building', 'yes'), ('building:levels', '2'), ('shop', 'mall')]",POINT (23.7956475 38.03583719999998),0.87,0,87,125.92998868664093,True
170,PARKING,Αυτοκίνηση|Χώροι στάθμευσης|_,POINT (23.7942356191549322 38.0353245883312283),169593389,[],"[('access', 'customers'), ('amenity', 'parking')]",POINT (23.7943967 38.03558109999999),0.94,0,94,40.44615048635549,True
179,ΣΚΛΑΒΕΝΙΤΗΣ (CARREFOUR),Αγαθά - υπηρεσίες|Καταστήματα τροφίμων|Σουπερμάρκετ,POINT (23.7957720874871939 38.0354548133927963),2027828083,"['Σκλαβενίτης', 'Sklavenitis']","[('brand', 'Σκλαβενίτης'), ('brand:el', 'Σκλαβενίτης'), ('brand:en', 'Sklavenitis'), ('brand:wikidata', 'Q7536037'), ('brand:wikipedia', 'el:Σκλαβενίτης'), ('name', 'Σκλαβενίτης'), ('name:el', 'Σκλαβενίτης'), ('name:en', 'Sklavenitis'), ('shop', 'supermarket')]",POINT (23.7956844 38.03612879999999),0.772,62,100,95.7570397760234,True
185,SHELL,Αυτοκίνηση|Πρατήρια βενζίνης|_,POINT (23.8195121704875845 38.0361913177309532),439788128,['Shell'],"[('addr:street', 'Μεσογείων'), ('amenity', 'fuel'), ('brand', 'Shell'), ('building', 'roof'), ('name', 'Shell')]",POINT (23.8196369 38.0361769),0.7559999999999999,100,39,14.033559895326972,True
186,ΣΚΛΑΒΕΝΙΤΗΣ (CARREFOUR),Αγαθά - υπηρεσίες|Καταστήματα τροφίμων|Σουπερμάρκετ,POINT (23.7956053293254115 38.0361788361415663),2027828083,"['Σκλαβενίτης', 'Sklavenitis']","[('brand', 'Σκλαβενίτης'), ('brand:el', 'Σκλαβενίτης'), ('brand:en', 'Sklavenitis'), ('brand:wikidata', 'Q7536037'), ('brand:wikipedia', 'el:Σκλαβενίτης'), ('name', 'Σκλαβενίτης'), ('name:el', 'Σκλαβενίτης'), ('name:en', 'Sklavenitis'), ('shop', 'supermarket')]",POINT (23.7956844 38.03612879999999),0.772,62,100,11.291106877241216,True
190,MEDIA MARKT,Αγαθά - υπηρεσίες|Εμπορικά κέντρα|Πολυκαταστήματα,POINT (23.7975769415082503 38.0363981140515861),216883839,[],"[('addr:city', 'Μαρούσι'), ('addr:street', 'Λ. Κηφισίας'), ('building', 'yes'), ('shop', 'department_store')]",POINT (23.7972024 38.0366645),0.79,0,79,56.177444180531474,True
191,PARKING,Αυτοκίνηση|Χώροι στάθμευσης|_,POINT (23.7811517549102049 38.0363845567604244),7238550,[],"[('amenity', 'parking'), ('fee', 'no'), ('foot', 'yes'), ('motor_vehicle', 'yes'), ('parking', 'surface'), ('type', 'multipolygon')]",POINT (23.7817957 38.0367869),0.94,0,94,91.50018923992089,True
196,ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ,Επιχειρήσεις|Τράπεζες|Καταστήματα,POINT (23.7991607070532609 38.0370727511513849),4656636023,"['Piraeus Bank', 'Τράπεζα Πειραιώς', 'Piraeus', 'Πειραιώς']","[('amenity', 'bank'), ('atm', 'yes'), ('brand', 'Τράπεζα Πειραιώς'), ('brand:el', 'Τράπεζα Πειραιώς'), ('brand:en', 'Piraeus Bank'), ('brand:wikidata', 'Q3312'), ('brand:wikipedia', 'en:Piraeus Bank'), ('level', '0'), ('name', 'Τράπεζα Πειραιώς'), ('name:el', 'Τράπεζα Πειραιώς'), ('name:en', 'Piraeus Bank'), ('short_name', 'Πειραιώς'), ('short_name:el', 'Πειραιώς'), ('short_name:en', 'Piraeus')]",POINT (23.7995227 38.03699189999998),0.8480000000000001,88,80,41.88581644227408,True
198,ACS COURIER,Αγαθά - υπηρεσίες|Εμπορικές υπηρεσίες|_,POINT (23.8033299924214283 38.0371799869471729),6033640695,['ACS'],"[('addr:city', 'Μαρούσι'), ('addr:street', 'Κοσμά Αιτωλού'), ('amenity', 'post_office'), ('name', 'ACS')]",POINT (23.8032054 38.0373796),0.7440000000000001,100,36,31.43782652329937,True
199,BMW,Αυτοκίνηση|Εμπόριο και υπηρεσίες αυτοκινήτων|_,POINT (23.7987347606749111 38.0371862832668555),430082086,['BMW Σφακιανάκης'],"[('addr:city', 'Μαρούσι'), ('addr:street', 'Κηφισίας'), ('building', 'yes'), ('name', 'BMW Σφακιανάκης'), ('shop', 'car')]",POINT (23.79842519999999 38.03718649999998),0.9440000000000001,100,86,34.460150316501654,True
201,OPEL,Αυτοκίνηση|Εμπόριο και υπηρεσίες αυτοκινήτων|_,POINT (23.7988565375184962 38.0372881594667831),430105975,['OPEL Σφακιανάκης'],"[('addr:city', 'Μαρούσι'), ('addr:street', 'Κηφισίας'), ('building', 'yes'), ('name', 'OPEL Σφακιανάκης'), ('shop', 'car')]",POINT (23.799146 38.03770459999999),0.9440000000000001,100,86,67.10226430910487,True
202,VOLVO,Αυτοκίνηση|Εμπόριο και υπηρεσίες αυτοκινήτων|_,POINT (23.7988565375184962 38.0372881594667831),442545024,['Volvo Σφακιανάκης'],"[('addr:city', 'Μαρούσι'), ('addr:housenumber', '55'), ('addr:street', 'Κηφισίας'), ('building', 'yes'), ('name', 'Volvo Σφακιανάκης'), ('shop', 'car')]",POINT (23.7986794 38.03741579999999),0.9440000000000001,100,86,26.726273546761984,True
204,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες|Περίπτερα|_,POINT (23.7995952027725757 38.0373901738265019),677461546,[],"[('building', 'yes'), ('shop', 'kiosk')]",POINT (23.7996892 38.0373452),0.89,0,89,12.243162545239075,True
206,ΓΗΠΕΔΟ,Αθλητισμός και αναψυχή|Αθλητικές εγκαταστάσεις|Γήπεδα,POINT (23.7950232036533116 38.0374819347340321),82629274,[],"[('leisure', 'pitch'), ('sport', 'soccer')]",POINT (23.7949786 38.037519),0.75,0,75,7.2179195329034505,True
210,PARKING,Αυτοκίνηση|Χώροι στάθμευσης|_,POINT (23.7911186117716014 38.0377453228024649),175861918,[],"[('addr:city', 'Μαρούσι'), ('amenity', 'parking'), ('parking', 'surface')]",POINT (23.790171 38.03836569999999),0.94,0,94,137.1719081918737,True
215,ΓΗΠΕΔΟ ΜΠΑΣΚΕΤ,Αθλητισμός και αναψυχή|Αθλητικές εγκαταστάσεις|Γήπεδα,POINT (23.7860436499369179 38.0380798185503579),51751306,[],"[('leisure', 'pitch'), ('sport', 'athletics')]",POINT (23.7875691 38.03976789999999),0.75,0,75,292.8553745482796,True
220,ΝΗΠΙΑΓΩΓΕΙΟ ΑΜΑΡΟΥΣΙΟΥ 13Ο,Εκπαίδευση|Πρωτοβάθμια|Νηπιαγωγεία,POINT (23.7967792230974915 38.0382468524299924),625506735,['13ο Νηπιαγωγείο Αμαρουσίου'],"[('amenity', 'kindergarten'), ('name', '13ο Νηπιαγωγείο Αμαρουσίου')]",POINT (23.7968176 38.03822319999999),0.916,92,91,5.424640389278164,True
225,PARKING,Αυτοκίνηση|Χώροι στάθμευσης|_,POINT (23.7795209717220324 38.0388307313728546),175860753,[],"[('amenity', 'parking')]",POINT (23.77989150000001 38.03872749999999),0.94,0,94,43.751679832216816,True
228,PARKING,Αυτοκίνηση|Χώροι στάθμευσης|_,POINT (23.7924806525364190 38.0392544905110768),225190159,[],"[('amenity', 'parking')]",POINT (23.7918946 38.0387178),0.94,0,94,100.0518727460747,True
232,ΠΑΝΑΓΙΑ ΒΛΑΧΕΡΝΩΝ,Διάφορα|Θρησκευτικοί χώροι|Εκκλησίες,POINT (23.8021033415376948 38.0395531511443963),82453621,"['Παναγία Βλαχερνών', 'Παναγιά των Βλαχερνών']","[('amenity', 'place_of_worship'), ('building', 'yes'), ('denomination', 'greek_orthodox'), ('name', 'Παναγία Βλαχερνών'), ('name:el', 'Παναγιά των Βλαχερνών'), ('religion', 'christian')]",POINT (23.8018464 38.03934999999999),0.7080000000000001,88,45,40.528960994386566,True
248,PARKING COSMOPOLIS,Αυτοκίνηση|Χώροι στάθμευσης|_,POINT (23.8005924062989322 38.0401611068789052),297263889,[],"[('amenity', 'parking'), ('parking', 'surface')]",POINT (23.7987996 38.03900079999999),0.94,0,94,258.31419539601336,True
250,PARKING,Αυτοκίνηση|Χώροι στάθμευσης|_,POINT (23.7771206734536911 38.0403221988047662),175860751,[],"[('amenity', 'parking'), ('parking', 'surface')]",POINT (23.7780476 38.04078179999998),0.94,0,94,121.93123590305484,True
